epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,18.7609,1.07666,0.61603,1.15014,1.04575,0.99364,0.85714,0.9775,0.66741,0.99364,0.85714,0.9775,0.81334,1.17979,0.62433,1.11666,1.09004,0.0019802,0.0019802,0.0019802
32,19.3143,0.98656,0.51505,1.11084,0.99175,0.70438,0.85714,0.88576,0.63235,0.70438,0.85714,0.88576,0.74472,0.9597,0.5216,1.20654,1.08031,0.00197954,0.00197954,0.00197954
33,19.8633,0.90877,0.45626,1.1042,0.97891,0.7642,1,0.90246,0.67187,0.7642,1,0.90246,0.76844,0.94766,0.68595,1.17538,1.08268,0.00197888,0.00197888,0.00197888
34,20.4217,0.94235,0.64549,1.09585,1.02454,0.86887,1,0.9775,0.74823,0.86887,1,0.9775,0.86041,0.88216,0.61198,1.11567,1.03872,0.00197822,0.00197822,0.00197822
35,20.9846,0.79459,0.55402,1.01693,0.9186,0.9897,1,0.995,0.74395,0.9897,1,0.995,0.85552,0.93677,0.55745,0.98848,1.12747,0.00197756,0.00197756,0.00197756
36,21.5393,0.92807,0.67273,1.03584,0.98126,0.98423,1,0.995,0.78783,0.98423,1,0.995,0.86539,0.89409,0.50595,1.02517,1.02337,0.0019769,0.0019769,0.0019769
37,22.1087,0.82897,0.55156,1.02332,0.94412,0.98873,1,0.995,0.77112,0.98873,1,0.995,0.87755,0.78953,0.47268,1.07436,0.98505,0.00197624,0.00197624,0.00197624
38,22.663,0.86766,0.58321,0.9679,0.94294,0.98519,1,0.995,0.81385,0.98519,1,0.995,0.87352,0.86234,0.50477,0.96686,1.02152,0.00197558,0.00197558,0.00197558
39,23.2498,0.85936,0.5706,0.99465,0.95147,0.96865,1,0.995,0.76409,0.96865,1,0.995,0.80008,0.89842,0.64871,0.98877,1.09124,0.00197492,0.00197492,0.00197492
40,23.9229,0.81576,0.55392,0.95004,0.91195,0.9559,1,0.995,0.75566,0.9559,1,0.995,0.87255,0.96941,0.54128,1.07147,1.14135,0.00197426,0.00197426,0.00197426
41,24.515,0.77467,0.44591,0.91043,0.92015,0.9078,1,0.995,0.6726,0.9078,1,0.995,0.86331,0.97261,0.46779,1.16564,1.13279,0.0019736,0.0019736,0.0019736
42,25.0927,0.78033,0.60142,0.87385,0.89917,0.86676,1,0.9775,0.73864,0.86676,1,0.9775,0.88062,0.8791,0.51391,1.12734,1.01959,0.00197294,0.00197294,0.00197294
43,25.6805,0.81903,0.49731,0.86732,0.9471,0.86544,1,0.9775,0.73148,0.86544,1,0.9775,0.87989,0.84829,0.47177,1.13315,1.00497,0.00197228,0.00197228,0.00197228
44,26.2514,0.82325,0.51195,0.85583,0.93891,0.99333,1,0.995,0.77001,0.99333,1,0.995,0.89151,0.78651,0.48081,1.07668,1.0029,0.00197162,0.00197162,0.00197162
45,26.8292,0.72571,0.4608,0.82632,0.94794,0.99355,1,0.995,0.73753,0.99355,1,0.995,0.91575,1.01858,0.44199,0.99346,0.9963,0.00197096,0.00197096,0.00197096
46,27.3921,0.79124,0.42757,0.83969,0.93045,0.99138,1,0.995,0.89794,0.99138,1,0.995,0.88687,0.70798,0.43276,0.9546,0.99051,0.0019703,0.0019703,0.0019703
47,27.9678,0.78109,0.54211,0.8305,0.91307,0.99202,1,0.995,0.80728,0.99202,1,0.995,0.77945,0.86396,0.49808,0.81665,1.0604,0.00196964,0.00196964,0.00196964
48,28.5299,0.85625,0.49527,0.83299,0.9153,0.99177,1,0.995,0.73928,0.99177,1,0.995,0.78707,1.05516,0.48878,0.72697,1.04796,0.00196898,0.00196898,0.00196898
49,29.0833,0.84836,0.52286,0.82763,0.92808,0.9869,1,0.995,0.70533,0.9869,1,0.995,0.81764,1.15968,0.53137,0.89045,1.12584,0.00196832,0.00196832,0.00196832
50,29.7345,0.87837,0.50676,0.80656,0.94473,0.98256,1,0.995,0.61914,0.98256,1,0.995,0.80403,1.20814,0.54404,0.95892,1.2362,0.00196766,0.00196766,0.00196766
51,30.2901,0.84121,0.50807,0.82663,0.95018,0.98207,1,0.995,0.68906,0.98207,1,0.995,0.82917,1.08258,0.43372,0.9112,1.09181,0.001967,0.001967,0.001967
52,30.8459,0.77512,0.4526,0.77754,0.94942,0.98427,1,0.995,0.7497,0.98427,1,0.995,0.86302,0.94212,0.35863,0.82623,1.04675,0.00196634,0.00196634,0.00196634
53,31.4125,0.77047,0.64582,0.76492,0.9387,0.98903,1,0.995,0.76341,0.98903,1,0.995,0.88065,0.92854,0.36263,0.70245,1.00391,0.00196568,0.00196568,0.00196568
54,31.9701,0.75878,0.46668,0.7798,0.89773,0.99348,1,0.995,0.81556,0.99348,1,0.995,0.90978,0.82561,0.36157,0.62631,1.01113,0.00196502,0.00196502,0.00196502
55,32.5257,0.68861,0.47862,0.75813,0.92263,0.99422,1,0.995,0.80992,0.99422,1,0.995,0.8956,0.77156,0.39641,0.64191,0.97241,0.00196436,0.00196436,0.00196436
56,33.0811,0.80026,0.51175,0.82967,0.93462,0.99453,1,0.995,0.85334,0.99453,1,0.995,0.89794,0.62018,0.44641,0.63735,0.92454,0.0019637,0.0019637,0.0019637
57,33.6361,0.80081,0.55098,0.77783,0.91177,0.99378,1,0.995,0.78312,0.99378,1,0.995,0.84742,0.84034,0.45739,0.67749,0.98777,0.00196304,0.00196304,0.00196304
58,34.2933,0.81855,0.56415,0.75198,0.92988,0.99152,1,0.995,0.81325,0.99152,1,0.995,0.86384,0.85155,0.44776,0.63143,0.96788,0.00196238,0.00196238,0.00196238
59,34.8461,0.79149,0.57826,0.71841,0.90317,0.99216,1,0.995,0.85165,0.99216,1,0.995,0.93418,0.77945,0.36055,0.62022,0.92312,0.00196172,0.00196172,0.00196172
60,35.4138,0.7287,0.46394,0.69759,0.89944,0.99166,1,0.995,0.81426,0.99166,1,0.995,0.85834,0.80413,0.54383,0.59047,0.93325,0.00196106,0.00196106,0.00196106
61,35.9756,0.85514,0.63509,0.71596,0.88473,0.99107,1,0.995,0.83756,0.99107,1,0.995,0.8559,0.70852,0.42736,0.60332,0.93371,0.0019604,0.0019604,0.0019604
62,36.5385,0.72362,0.54839,0.7473,0.92856,0.99159,1,0.995,0.81714,0.99159,1,0.995,0.88265,0.74649,0.40677,0.61824,0.92928,0.00195974,0.00195974,0.00195974
63,37.0909,0.72374,0.48355,0.69841,0.89686,0.99147,1,0.995,0.87952,0.99147,1,0.995,0.85529,0.7045,0.40566,0.6112,0.92565,0.00195908,0.00195908,0.00195908
64,37.6471,0.72331,0.47391,0.70872,0.91973,0.99211,1,0.995,0.82828,0.99211,1,0.995,0.80213,0.67028,0.41308,0.53832,0.95053,0.00195842,0.00195842,0.00195842
65,38.2093,0.7468,0.45699,0.7211,0.9531,0.99333,1,0.995,0.87049,0.99333,1,0.995,0.79353,0.63549,0.40325,0.51548,0.94479,0.00195776,0.00195776,0.00195776
66,38.7741,0.68748,0.47141,0.68923,0.89738,0.99565,1,0.995,0.82828,0.99565,1,0.995,0.85777,0.72105,0.40982,0.55507,0.95933,0.0019571,0.0019571,0.0019571
67,39.4205,0.75364,0.4645,0.71934,0.91996,0.99639,1,0.995,0.83295,0.99639,1,0.995,0.8955,0.6556,0.41829,0.56477,0.96246,0.00195644,0.00195644,0.00195644
68,39.9654,0.74276,0.4452,0.67788,0.93303,0.99729,1,0.995,0.80555,0.99729,1,0.995,0.84,0.79694,0.53542,0.58739,0.99397,0.00195578,0.00195578,0.00195578
69,40.5032,0.71716,0.48438,0.69063,0.90769,0.99399,1,0.995,0.78623,0.99399,1,0.995,0.90037,0.76972,0.51085,0.57044,0.96328,0.00195512,0.00195512,0.00195512
70,41.0485,0.71452,0.41944,0.65923,0.89463,0.99344,1,0.995,0.81429,0.99344,1,0.995,0.8583,0.8037,0.44989,0.55371,0.9372,0.00195446,0.00195446,0.00195446
71,41.5949,0.64885,0.48084,0.64241,0.88887,0.99114,1,0.995,0.79104,0.99114,1,0.995,0.88263,0.86141,0.47962,0.56789,0.92647,0.0019538,0.0019538,0.0019538
72,42.1347,0.60468,0.55986,0.60909,0.88334,0.99352,1,0.995,0.81632,0.99352,1,0.995,0.85601,0.76279,0.42034,0.56127,0.90724,0.00195314,0.00195314,0.00195314
73,42.6831,0.70721,0.49301,0.60644,0.86987,0.99373,1,0.995,0.87551,0.99373,1,0.995,0.89288,0.70074,0.3793,0.49623,0.90655,0.00195248,0.00195248,0.00195248
74,43.2232,0.62783,0.39889,0.61967,0.88784,0.99372,1,0.995,0.85418,0.99372,1,0.995,0.88037,0.6567,0.38541,0.52284,0.8904,0.00195182,0.00195182,0.00195182
75,43.7678,0.71166,0.51748,0.61141,0.88915,0.9919,1,0.995,0.77754,0.9919,1,0.995,0.90981,0.84611,0.38428,0.55687,0.93765,0.00195116,0.00195116,0.00195116
76,44.4063,0.75705,0.47924,0.64866,0.90629,0.99053,1,0.995,0.72537,0.99053,1,0.995,0.92114,0.86879,0.3675,0.5657,0.94208,0.0019505,0.0019505,0.0019505
77,44.9467,0.77731,0.45025,0.63165,0.86352,0.99237,1,0.995,0.82465,0.99237,1,0.995,0.87909,0.6298,0.39889,0.55114,0.88554,0.00194984,0.00194984,0.00194984
78,45.4938,0.71812,0.45522,0.65172,0.8912,0.99263,1,0.995,0.86525,0.99263,1,0.995,0.92161,0.65555,0.38792,0.53095,0.8827,0.00194918,0.00194918,0.00194918
79,46.0564,0.75564,0.45817,0.66455,0.89516,0.99214,1,0.995,0.84372,0.99214,1,0.995,0.92349,0.57682,0.38311,0.58379,0.86295,0.00194852,0.00194852,0.00194852
80,46.6111,0.71025,0.38642,0.59819,0.86732,0.98878,1,0.995,0.7706,0.98878,1,0.995,0.90227,0.82051,0.38035,0.53993,0.93497,0.00194786,0.00194786,0.00194786
81,47.1613,0.75839,0.38832,0.64896,0.89489,0.9886,1,0.995,0.74848,0.9886,1,0.995,0.89456,0.98861,0.35571,0.55531,0.94895,0.0019472,0.0019472,0.0019472
82,47.7149,0.75061,0.40544,0.67009,0.909,0.99215,1,0.995,0.83913,0.99215,1,0.995,0.93978,0.59041,0.37293,0.52332,0.86832,0.00194654,0.00194654,0.00194654
